Value,scientific_name,common_name,type
Baeolophus bicolor_Tufted Titmouse,Baeolophus bicolor,Tufted Titmouse,bird
Plectrophenax nivalis_Snow Bunting,Plectrophenax nivalis,Snow Bunting,bird
Passerella iliaca_Fox Sparrow,Passerella iliaca,Fox Sparrow,bird
Falco columbarius_Merlin,Falco columbarius,Merlin,bird
Sialia sialis_Eastern Bluebird,Sialia sialis,Eastern Bluebird,bird
Spizella passerina_Chipping Sparrow,Spizella passerina,Chipping Sparrow,bird
Mareca americana_American Wigeon,Mareca americana,American Wigeon,bird
Catharus guttatus_Hermit Thrush,Catharus guttatus,Hermit Thrush,bird
Corthylio calendula_Ruby-crowned Kinglet,Corthylio calendula,Ruby-crowned Kinglet,bird
Nannopterum auritum_Double-crested Cormorant,Nannopterum auritum,Double-crested Cormorant,bird
Larus marinus_Great Black-backed Gull,Larus marinus,Great Black-backed Gull,bird
Podilymbus podiceps_Pied-billed Grebe,Podilymbus podiceps,Pied-billed Grebe,bird
Setophaga coronata_Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,bird
Buteo lagopus_Rough-legged Hawk,Buteo lagopus,Rough-legged Hawk,bird
Eremophila alpestris_Horned Lark,Eremophila alpestris,Horned Lark,bird
Melospiza georgiana_Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,bird
Cygnus olor_Mute Swan,Cygnus olor,Mute Swan,bird
Clangula hyemalis_Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,bird
Anas acuta_Northern Pintail,Anas acuta,Northern Pintail,bird
Podiceps auritus_Horned Grebe,Podiceps auritus,Horned Grebe,bird
Zonotrichia leucophrys_White-crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,bird
Aythya marila_Greater Scaup,Aythya marila,Greater Scaup,bird
Euphagus carolinus_Rusty Blackbird,Euphagus carolinus,Rusty Blackbird,bird
Pandion haliaetus_Osprey,Pandion haliaetus,Osprey,bird
Melanitta perspicillata_Surf Scoter,Melanitta perspicillata,Surf Scoter,bird
Aythya americana_Redhead,Aythya americana,Redhead,bird
Spatula clypeata_Northern Shoveler,Spatula clypeata,Northern Shoveler,bird
Melanitta americana_Black Scoter,Melanitta americana,Black Scoter,bird
Gallinago delicata_Wilson's Snipe,Gallinago delicata,Wilson's Snipe,bird
Somateria mollissima_Common Eider,Somateria mollissima,Common Eider,bird
Accipiter striatus_Sharp-shinned Hawk,Accipiter striatus,Sharp-shinned Hawk,bird
Mareca strepera_Gadwall,Mareca strepera,Gadwall,bird
Canis latrans_Coyote,Canis latrans,Coyote,mammal
Odocoileus virginianus_White-tailed Deer,Odocoileus virginianus,White-tailed Deer,mammal
Sciurus carolinensis_Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,mammal
Tamias striatus_Eastern Chipmunk,Tamias striatus,Eastern Chipmunk,mammal
Tamiasciurus hudsonicus_Red Squirrel,Tamiasciurus hudsonicus,Red Squirrel,mammal
Dog_Dog,Dog,Dog,mammal
